G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19805,3582,7489,0.478,25.0,114.0,0.219,3557,7375,0.482,1671,2250,0.743,1187,2429,3616,2123,863,356,1439,2135,8860,1980,KCK
82.0,19830,3572,7151,0.5,49,168,0.292,3523,6983,0.505,1576,2206,0.714,1037,2450,3487,2271,719,385,1448,2092,8769,1981,KCK
82.0,19880,3604,7284,0.495,26,130,0.2,3578,7154,0.5,1551,2158,0.719,1086,2276,3362,2056,743,402,1507,2359,8785,1982,KCK
82.0,19780,3719,7485,0.497,51,215,0.237,3668,7270,0.505,1839,2530,0.727,1256,2407,3663,2155,765,409,1691,2432,9328,1983,KCK
82.0,19755,3516,7230,0.486,52,189,0.275,3464,7041,0.492,1939,2495,0.777,1144,2273,3417,2229,715,383,1504,2200,9023,1984,KCK
82.0,19755,3664,7275,0.504,63,238,0.265,3601,7037,0.512,2022,2595,0.779,1167,2327,3494,2342,661,300,1593,2169,9413,1985,KCK
