G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TEAM
82.0,19755,3524,7494,0.47,177.0,543.0,0.326,3347,6951,0.482,1595,2167,0.736,1294,2308,3602,1688,664,288,1443,1896,8820,1980,SDC
82.0,19730,3477,7283,0.477,132,407,0.324,3345,6876,0.486,1651,2246,0.735,1169,2144,3313,2098,764,292,1407,2078,8737,1981,SDC
82.0,19755,3552,7101,0.5,99,338,0.293,3453,6763,0.511,1693,2341,0.723,1131,2196,3327,1878,636,299,1570,2353,8896,1982,SDC
82.0,19830,3625,7634,0.475,64,262,0.244,3561,7372,0.483,1589,2195,0.724,1394,2108,3502,2087,820,408,1600,2284,8903,1983,SDC
82.0,19730,3634,7325,0.496,24,128,0.188,3610,7197,0.502,1785,2424,0.736,1307,2382,3689,1981,567,385,1515,2020,9077,1984,SDC
