Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd,Player,Season
Season,Regular Season,978,2173,.450,180,518,.347,.491,428,.438,Kobe Bryant,2006
Season,Regular Season,813,1757,.463,137,398,.344,.502,325,.400,Kobe Bryant,2007
Season,Regular Season,775,1690,.459,150,415,.361,.503,310,.400,Kobe Bryant,2008
Season,Regular Season,800,1712,.467,118,336,.351,.502,298,.372,Kobe Bryant,2009
Season,Regular Season,716,1568,.457,99,301,.329,.488,290,.405,Kobe Bryant,2010
Season,Regular Season,740,1639,.451,115,356,.323,.487,278,.376,Kobe Bryant,2011
Season,Regular Season,574,1336,.430,87,287,.303,.462,255,.444,Kobe Bryant,2012
Season,Regular Season,738,1595,.463,132,407,.324,.504,245,.332,Kobe Bryant,2013
Season,Regular Season,31,73,.425,3,16,.188,.445,9,.290,Kobe Bryant,2014
Season,Regular Season,266,713,.373,54,184,.293,.411,84,.316,Kobe Bryant,2015
Season,Regular Season,398,1112,.358,133,466,.285,.418,179,.450,Kobe Bryant,2016
Season,Regular Season,622,1492,.417,63,217,.290,.438,294,.473,LeBron James,2004
Season,Regular Season,795,1684,.472,108,308,.351,.504,360,.453,LeBron James,2005
Season,Regular Season,875,1823,.480,127,379,.335,.515,280,.320,LeBron James,2006
Season,Regular Season,772,1621,.476,99,310,.319,.507,265,.343,LeBron James,2007
Season,Regular Season,794,1642,.484,113,359,.315,.518,272,.343,LeBron James,2008
Season,Regular Season,789,1613,.489,132,384,.344,.530,265,.336,LeBron James,2009
Season,Regular Season,768,1528,.503,129,387,.333,.545,280,.365,LeBron James,2010
Season,Regular Season,758,1485,.510,92,279,.330,.541,245,.323,LeBron James,2011
Season,Regular Season,621,1169,.531,54,149,.362,.554,232,.374,LeBron James,2012
Season,Regular Season,765,1354,.565,103,254,.406,.603,307,.401,LeBron James,2013
Season,Regular Season,767,1353,.567,116,306,.379,.610,319,.416,LeBron James,2014
Season,Regular Season,624,1279,.488,120,339,.354,.535,215,.345,LeBron James,2015
Season,Regular Season,737,1416,.520,87,282,.309,.551,298,.404,LeBron James,2016
Season,Regular Season,736,1344,.548,124,342,.363,.594,278,.378,LeBron James,2017
Season,Regular Season,857,1580,.542,149,406,.367,.590,266,.310,LeBron James,2018
Season,Regular Season,558,1095,.510,111,327,.339,.560,190,.341,LeBron James,2019
Season,Regular Season,643,1303,.493,148,425,.348,.550,186,.289,LeBron James,2020
Season,Regular Season,422,822,.513,104,285,.365,.577,158,.374,LeBron James,2021
Season,Regular Season,640,1221,.524,161,448,.359,.590,285,.445,LeBron James,2022
Season,Regular Season,609,1217,.500,121,377,.321,.550,269,.442,LeBron James,2023
Season,Regular Season,685,1269,.540,149,363,.410,.599,335,.489,LeBron James,2024
Season,Regular Season,587,1366,.430,59,205,.288,.451,348,.593,Kevin Durant,2008
Season,Regular Season,661,1390,.476,97,230,.422,.510,375,.567,Kevin Durant,2009
Season,Regular Season,794,1668,.476,128,351,.365,.514,413,.520,Kevin Durant,2010
Season,Regular Season,711,1538,.462,145,414,.350,.509,444,.624,Kevin Durant,2011
Season,Regular Season,643,1297,.496,133,344,.387,.547,309,.481,Kevin Durant,2012
Season,Regular Season,731,1433,.510,139,334,.416,.559,377,.516,Kevin Durant,2013
Season,Regular Season,849,1688,.503,192,491,.391,.560,401,.472,Kevin Durant,2014
Season,Regular Season,238,467,.510,64,159,.403,.578,131,.550,Kevin Durant,2015
Season,Regular Season,698,1381,.505,186,480,.388,.573,384,.550,Kevin Durant,2016
Season,Regular Season,551,1026,.537,116,311,.373,.594,339,.615,Kevin Durant,2017
Season,Regular Season,630,1221,.516,173,413,.419,.587,342,.543,Kevin Durant,2018
Season,Regular Season,721,1383,.521,137,388,.353,.571,353,.490,Kevin Durant,2019
Season,Regular Season,324,603,.537,85,189,.450,.608,169,.522,Kevin Durant,2021
Season,Regular Season,578,1115,.518,115,300,.383,.570,295,.510,Kevin Durant,2022
Season,Regular Season,483,862,.560,93,230,.404,.614,242,.501,Kevin Durant,2023
Season,Regular Season,751,1436,.523,168,407,.413,.581,435,.579,Kevin Durant,2024
Season,Regular Season,233,578,.403,93,248,.375,.484,139,.597,James Harden,2010
Season,Regular Season,298,684,.436,113,324,.349,.518,171,.574,James Harden,2011
Season,Regular Season,309,629,.491,114,292,.390,.582,153,.495,James Harden,2012
Season,Regular Season,585,1337,.438,179,486,.368,.504,183,.313,James Harden,2013
Season,Regular Season,549,1205,.456,177,483,.366,.529,187,.341,James Harden,2014
Season,Regular Season,647,1470,.440,208,555,.375,.511,179,.277,James Harden,2015
Season,Regular Season,710,1617,.439,236,656,.360,.512,209,.294,James Harden,2016
Season,Regular Season,674,1532,.440,262,756,.347,.525,122,.181,James Harden,2017
Season,Regular Season,651,1448,.450,265,722,.367,.541,103,.158,James Harden,2018
Season,Regular Season,843,1909,.442,378,1028,.368,.541,110,.130,James Harden,2019
Season,Regular Season,672,1514,.444,299,843,.355,.543,103,.153,James Harden,2020
Season,Regular Season,342,734,.466,121,334,.362,.548,67,.196,James Harden,2021
Season,Regular Season,407,992,.410,148,448,.330,.485,87,.214,James Harden,2022
Season,Regular Season,371,843,.440,161,418,.385,.536,94,.253,James Harden,2023
Season,Regular Season,352,822,.428,186,488,.381,.541,112,.318,James Harden,2024
