Split,Value,FG,FGA,FG%,3P,3PA,3P%,eFG%,Ast'd,%Ast'd,Player,Season
Season,Regular Season,528,1143,.462,166,380,.437,.535,234,.443,Stephen Curry,2010
Season,Regular Season,505,1053,.480,151,342,.442,.551,212,.420,Stephen Curry,2011
Season,Regular Season,145,296,.490,55,121,.455,.583,73,.503,Stephen Curry,2012
Season,Regular Season,626,1388,.451,272,600,.453,.549,256,.409,Stephen Curry,2013
Season,Regular Season,652,1383,.471,261,615,.424,.566,196,.301,Stephen Curry,2014
Season,Regular Season,653,1341,.487,286,646,.443,.594,289,.443,Stephen Curry,2015
Season,Regular Season,805,1597,.504,402,887,.453,.630,370,.460,Stephen Curry,2016
Season,Regular Season,675,1443,.468,324,789,.411,.580,352,.521,Stephen Curry,2017
Season,Regular Season,428,864,.495,212,501,.423,.618,221,.516,Stephen Curry,2018
Season,Regular Season,632,1340,.472,354,810,.437,.604,373,.590,Stephen Curry,2019
Season,Regular Season,33,82,.402,12,49,.245,.476,15,.455,Stephen Curry,2020
Season,Regular Season,658,1365,.482,337,801,.421,.605,330,.502,Stephen Curry,2021
Season,Regular Season,535,1224,.437,285,750,.380,.554,255,.477,Stephen Curry,2022
Season,Regular Season,559,1133,.493,273,639,.427,.614,268,.479,Stephen Curry,2023
Season,Regular Season,650,1445,.450,357,876,.408,.573,335,.515,Stephen Curry,2024
Season,Regular Season,176,422,.417,51,136,.375,.477,90,.511,Kobe Bryant,1997
Season,Regular Season,391,913,.428,75,220,.341,.469,202,.517,Kobe Bryant,1998
Season,Regular Season,362,779,.465,27,101,.267,.482,149,.412,Kobe Bryant,1999
Season,Regular Season,554,1183,.468,46,144,.319,.488,248,.448,Kobe Bryant,2000
Season,Regular Season,701,1510,.464,61,200,.305,.484,293,.418,Kobe Bryant,2001
Season,Regular Season,749,1597,.469,33,132,.250,.479,279,.372,Kobe Bryant,2002
Season,Regular Season,866,1920,.451,124,324,.383,.483,347,.401,Kobe Bryant,2003
Season,Regular Season,516,1178,.438,71,217,.327,.468,242,.469,Kobe Bryant,2004
Season,Regular Season,573,1324,.433,131,387,.339,.482,196,.342,Kobe Bryant,2005
