Season,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Attend.,Arena
2000,"Wed, Nov 10, 1999",Milwaukee Bucks,111,Charlotte Hornets,117,15769,Charlotte Coliseum
2000,"Wed, Nov 10, 1999",Los Angeles Lakers,89,Houston Rockets,88,16285,Compaq Center
2000,"Wed, Nov 10, 1999",San Antonio Spurs,99,Los Angeles Clippers,94,11118,STAPLES Center
2000,"Wed, Nov 10, 1999",Phoenix Suns,104,New Jersey Nets,89,11652,Continental Airlines Arena
2000,"Wed, Nov 10, 1999",Philadelphia 76ers,105,Orlando Magic,110,14056,TD Waterhouse Centre
2000,"Wed, Nov 10, 1999",Atlanta Hawks,97,Vancouver Grizzlies,102,11453,General Motors Place
2000,"Wed, Nov 10, 1999",Seattle SuperSonics,109,Washington Wizards,95,13213,MCI Center
2000,"Thu, Nov 11, 1999",Seattle SuperSonics,109,Cleveland Cavaliers,103,11864,Gund Arena
2000,"Thu, Nov 11, 1999",Toronto Raptors,123,Detroit Pistons,106,13157,The Palace of Auburn Hills
2000,"Thu, Nov 11, 1999",Orlando Magic,101,Indiana Pacers,116,18345,Conseco Fieldhouse
2000,"Thu, Nov 11, 1999",Dallas Mavericks,105,Miami Heat,128,14683,Miami Arena
2000,"Thu, Nov 11, 1999",New York Knicks,90,Minnesota Timberwolves,93,18397,Target Center
2000,"Fri, Nov 12, 1999",New York Knicks,74,Boston Celtics,80,18624,FleetCenter
2000,"Fri, Nov 12, 1999",New Jersey Nets,92,Charlotte Hornets,96,16668,Charlotte Coliseum
2000,"Fri, Nov 12, 1999",Portland Trail Blazers,93,Denver Nuggets,78,17512,Pepsi Center
2000,"Fri, Nov 12, 1999",Houston Rockets,97,Los Angeles Lakers,81,18359,STAPLES Center
2000,"Fri, Nov 12, 1999",Phoenix Suns,92,Milwaukee Bucks,107,16137,Bradley Center
2000,"Fri, Nov 12, 1999",Chicago Bulls,86,Philadelphia 76ers,92,18120,First Union Center
2000,"Fri, Nov 12, 1999",Utah Jazz,92,Sacramento Kings,105,17317,ARCO Arena (II)
2000,"Fri, Nov 12, 1999",Golden State Warriors,103,Vancouver Grizzlies,93,12792,General Motors Place
2000,"Fri, Nov 12, 1999",Miami Heat,104,Washington Wizards,95,13941,MCI Center
2000,"Sat, Nov 13, 1999",Boston Celtics,91,Chicago Bulls,92,22108,United Center
2000,"Sat, Nov 13, 1999",Milwaukee Bucks,112,Cleveland Cavaliers,117,18640,Gund Arena
2000,"Sat, Nov 13, 1999",Orlando Magic,117,Dallas Mavericks,125,12558,Reunion Arena
2000,"Sat, Nov 13, 1999",Seattle SuperSonics,99,Detroit Pistons,107,14266,The Palace of Auburn Hills
2000,"Sat, Nov 13, 1999",Houston Rockets,103,Golden State Warriors,95,11684,The Arena in Oakland
2000,"Sat, Nov 13, 1999",Washington Wizards,83,Indiana Pacers,105,18345,Conseco Fieldhouse
2000,"Sat, Nov 13, 1999",Phoenix Suns,100,Minnesota Timberwolves,111,20003,Target Center
2000,"Sat, Nov 13, 1999",Atlanta Hawks,95,Portland Trail Blazers,131,20404,Rose Garden Arena
2000,"Sat, Nov 13, 1999",Charlotte Hornets,79,San Antonio Spurs,95,19669,Alamodome
2000,"Sun, Nov 14, 1999",Atlanta Hawks,88,Los Angeles Lakers,93,18510,STAPLES Center
2000,"Sun, Nov 14, 1999",Miami Heat,94,New York Knicks,88,19763,Madison Square Garden (IV)
2000,"Sun, Nov 14, 1999",Denver Nuggets,116,Sacramento Kings,126,15491,ARCO Arena (II)
2000,"Sun, Nov 14, 1999",Philadelphia 76ers,93,Toronto Raptors,90,16661,Air Canada Centre
2000,"Sun, Nov 14, 1999",Los Angeles Clippers,89,Vancouver Grizzlies,109,12774,General Motors Place
2000,"Mon, Nov 15, 1999",Indiana Pacers,96,Houston Rockets,87,14866,Compaq Center
2000,"Mon, Nov 15, 1999",Seattle SuperSonics,100,New Jersey Nets,92,12474,Continental Airlines Arena
2000,"Mon, Nov 15, 1999",Los Angeles Lakers,91,Phoenix Suns,82,19023,America West Arena
2000,"Mon, Nov 15, 1999",San Antonio Spurs,85,Utah Jazz,91,19584,Delta Center
2000,"Tue, Nov 16, 1999",Charlotte Hornets,98,Atlanta Hawks,103,11426,Philips Arena
2000,"Tue, Nov 16, 1999",Houston Rockets,95,Dallas Mavericks,114,14371,Reunion Arena
2000,"Tue, Nov 16, 1999",New York Knicks,102,Denver Nuggets,95,13196,Pepsi Center
2000,"Tue, Nov 16, 1999",Chicago Bulls,79,Golden State Warriors,99,10340,The Arena in Oakland
2000,"Tue, Nov 16, 1999",Portland Trail Blazers,101,Miami Heat,96,15200,Miami Arena
2000,"Tue, Nov 16, 1999",Los Angeles Clippers,93,Milwaukee Bucks,101,12465,Bradley Center
2000,"Tue, Nov 16, 1999",Vancouver Grizzlies,77,Sacramento Kings,81,14169,ARCO Arena (II)
2000,"Tue, Nov 16, 1999",Indiana Pacers,87,San Antonio Spurs,90,15905,Alamodome
2000,"Tue, Nov 16, 1999",Detroit Pistons,85,Toronto Raptors,89,14273,Air Canada Centre
2000,"Tue, Nov 16, 1999",Philadelphia 76ers,95,Washington Wizards,73,14524,MCI Center
2000,"Wed, Nov 17, 1999",Cleveland Cavaliers,103,Boston Celtics,114,14140,FleetCenter
2000,"Wed, Nov 17, 1999",Dallas Mavericks,99,Charlotte Hornets,104,15137,Charlotte Coliseum
2000,"Wed, Nov 17, 1999",New Jersey Nets,107,Detroit Pistons,109,12683,The Palace of Auburn Hills
2000,"Wed, Nov 17, 1999",Los Angeles Clippers,89,Minnesota Timberwolves,85,13677,Target Center
2000,"Wed, Nov 17, 1999",Portland Trail Blazers,81,Orlando Magic,79,13542,TD Waterhouse Centre
2000,"Wed, Nov 17, 1999",Miami Heat,98,Philadelphia 76ers,93,15671,First Union Center
2000,"Wed, Nov 17, 1999",Chicago Bulls,81,Phoenix Suns,105,18480,America West Arena
2000,"Wed, Nov 17, 1999",Golden State Warriors,108,Seattle SuperSonics,111,15336,KeyArena at Seattle Center
2000,"Wed, Nov 17, 1999",New York Knicks,90,Utah Jazz,98,18890,Delta Center
2000,"Thu, Nov 18, 1999",Los Angeles Lakers,82,Denver Nuggets,93,15218,Pepsi Center
2000,"Thu, Nov 18, 1999",Sacramento Kings,128,Houston Rockets,110,14898,Compaq Center
2000,"Thu, Nov 18, 1999",San Antonio Spurs,88,Milwaukee Bucks,99,15184,Bradley Center
2000,"Thu, Nov 18, 1999",Seattle SuperSonics,110,Vancouver Grizzlies,108,12275,General Motors Place
2000,"Thu, Nov 18, 1999",Toronto Raptors,81,Washington Wizards,92,12134,MCI Center
