Season,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Attend.,Arena
2003,"Mon, Feb 24, 2003",Detroit Pistons,79,Seattle SuperSonics,86,15718,KeyArena at Seattle Center
2003,"Tue, Feb 25, 2003",New Jersey Nets,90,Cleveland Cavaliers,93,10761,Gund Arena
2003,"Tue, Feb 25, 2003",Washington Wizards,83,Indiana Pacers,78,18345,Conseco Fieldhouse
2003,"Tue, Feb 25, 2003",Dallas Mavericks,93,Orlando Magic,98,16009,TD Waterhouse Centre
2003,"Tue, Feb 25, 2003",Houston Rockets,95,New York Knicks,102,19763,Madison Square Garden (IV)
2003,"Tue, Feb 25, 2003",Miami Heat,69,San Antonio Spurs,84,17322,SBC Center
2003,"Tue, Feb 25, 2003",Atlanta Hawks,86,Portland Trail Blazers,89,17568,Rose Garden Arena
2003,"Tue, Feb 25, 2003",Detroit Pistons,75,Sacramento Kings,81,17317,ARCO Arena (II)
2003,"Tue, Feb 25, 2003",Los Angeles Clippers,98,Los Angeles Lakers,109,18997,STAPLES Center
2003,"Wed, Feb 26, 2003",Indiana Pacers,69,Boston Celtics,71,17319,FleetCenter
2003,"Wed, Feb 26, 2003",Memphis Grizzlies,107,Philadelphia 76ers,111,19568,First Union Center
2003,"Wed, Feb 26, 2003",New York Knicks,76,New Jersey Nets,105,15380,Continental Airlines Arena
2003,"Wed, Feb 26, 2003",Phoenix Suns,118,Milwaukee Bucks,112,17213,Bradley Center
2003,"Wed, Feb 26, 2003",Miami Heat,82,New Orleans Hornets,91,12460,New Orleans Arena
2003,"Wed, Feb 26, 2003",Toronto Raptors,95,Chicago Bulls,103,18178,United Center
2003,"Wed, Feb 26, 2003",Portland Trail Blazers,94,Denver Nuggets,84,15826,Pepsi Center
2003,"Wed, Feb 26, 2003",Utah Jazz,85,Minnesota Timberwolves,92,14227,Target Center
2003,"Wed, Feb 26, 2003",Atlanta Hawks,76,Seattle SuperSonics,93,14526,KeyArena at Seattle Center
2003,"Wed, Feb 26, 2003",Golden State Warriors,108,Los Angeles Clippers,94,15273,STAPLES Center
2003,"Thu, Feb 27, 2003",Houston Rockets,98,Washington Wizards,100,20173,MCI Center
2003,"Thu, Feb 27, 2003",Sacramento Kings,126,Dallas Mavericks,124,20059,American Airlines Center
2003,"Thu, Feb 27, 2003",Detroit Pistons,85,Los Angeles Lakers,95,18997,STAPLES Center
2003,"Fri, Feb 28, 2003",Milwaukee Bucks,98,Indiana Pacers,107,16431,Conseco Fieldhouse
2003,"Fri, Feb 28, 2003",Utah Jazz,83,Philadelphia 76ers,104,20830,First Union Center
2003,"Fri, Feb 28, 2003",Toronto Raptors,85,Boston Celtics,90,18624,FleetCenter
2003,"Fri, Feb 28, 2003",Miami Heat,116,Memphis Grizzlies,126,19351,Pyramid Arena
2003,"Fri, Feb 28, 2003",Cleveland Cavaliers,95,Minnesota Timberwolves,118,15279,Target Center
2003,"Fri, Feb 28, 2003",Orlando Magic,110,New York Knicks,118,19763,Madison Square Garden (IV)
2003,"Fri, Feb 28, 2003",Atlanta Hawks,110,Chicago Bulls,88,21867,United Center
2003,"Fri, Feb 28, 2003",New Orleans Hornets,94,Denver Nuggets,88,18556,Pepsi Center
2003,"Fri, Feb 28, 2003",Los Angeles Lakers,90,Seattle SuperSonics,107,17072,KeyArena at Seattle Center
2003,"Fri, Feb 28, 2003",Los Angeles Clippers,103,Portland Trail Blazers,109,19601,Rose Garden Arena
2003,"Sat, Mar 1, 2003",Sacramento Kings,100,San Antonio Spurs,108,18797,SBC Center
2003,"Sat, Mar 1, 2003",Chicago Bulls,93,Washington Wizards,101,20173,MCI Center
2003,"Sat, Mar 1, 2003",Memphis Grizzlies,87,Dallas Mavericks,114,19828,American Airlines Center
2003,"Sat, Mar 1, 2003",New Orleans Hornets,97,Phoenix Suns,92,16133,America West Arena
2003,"Sat, Mar 1, 2003",Detroit Pistons,90,Golden State Warriors,92,17348,The Arena in Oakland
2003,"Sat, Mar 1, 2003",Seattle SuperSonics,109,Los Angeles Clippers,101,17471,STAPLES Center
2003,"Sun, Mar 2, 2003",Orlando Magic,102,Cleveland Cavaliers,76,10902,Gund Arena
2003,"Sun, Mar 2, 2003",Utah Jazz,91,New Jersey Nets,90,16456,Continental Airlines Arena
2003,"Sun, Mar 2, 2003",Boston Celtics,92,Toronto Raptors,104,19800,Air Canada Centre
2003,"Sun, Mar 2, 2003",Atlanta Hawks,93,Milwaukee Bucks,120,16629,Bradley Center
2003,"Sun, Mar 2, 2003",New York Knicks,90,Minnesota Timberwolves,99,15071,Target Center
2003,"Sun, Mar 2, 2003",San Antonio Spurs,97,Houston Rockets,88,16285,Compaq Center
2003,"Sun, Mar 2, 2003",Washington Wizards,83,Miami Heat,93,16500,AmericanAirlines Arena
2003,"Sun, Mar 2, 2003",Philadelphia 76ers,100,Denver Nuggets,94,16632,Pepsi Center
2003,"Sun, Mar 2, 2003",Detroit Pistons,86,Portland Trail Blazers,103,19523,Rose Garden Arena
2003,"Mon, Mar 3, 2003",Boston Celtics,111,Memphis Grizzlies,110,13521,Pyramid Arena
2003,"Mon, Mar 3, 2003",Orlando Magic,104,Chicago Bulls,89,19178,United Center
2003,"Mon, Mar 3, 2003",Philadelphia 76ers,99,Sacramento Kings,107,17317,ARCO Arena (II)
2003,"Mon, Mar 3, 2003",New Orleans Hornets,111,Los Angeles Clippers,108,17585,STAPLES Center
2003,"Tue, Mar 4, 2003",Toronto Raptors,89,Washington Wizards,86,20173,MCI Center
2003,"Tue, Mar 4, 2003",Denver Nuggets,86,Atlanta Hawks,92,9392,Philips Arena
2003,"Tue, Mar 4, 2003",Houston Rockets,83,Detroit Pistons,96,22076,The Palace of Auburn Hills
2003,"Tue, Mar 4, 2003",Milwaukee Bucks,100,Miami Heat,91,14228,AmericanAirlines Arena
2003,"Tue, Mar 4, 2003",Cleveland Cavaliers,80,New York Knicks,89,18748,Madison Square Garden (IV)
2003,"Tue, Mar 4, 2003",New Jersey Nets,79,Dallas Mavericks,88,19920,American Airlines Center
2003,"Tue, Mar 4, 2003",Phoenix Suns,104,San Antonio Spurs,97,18797,SBC Center
2003,"Tue, Mar 4, 2003",Minnesota Timberwolves,83,Seattle SuperSonics,92,16368,KeyArena at Seattle Center
2003,"Tue, Mar 4, 2003",Indiana Pacers,100,Golden State Warriors,107,16409,The Arena in Oakland
2003,"Wed, Mar 5, 2003",New York Knicks,95,Boston Celtics,97,16277,FleetCenter
2003,"Wed, Mar 5, 2003",Atlanta Hawks,111,Cleveland Cavaliers,105,9118,Gund Arena
2003,"Wed, Mar 5, 2003",Milwaukee Bucks,99,Orlando Magic,111,14142,TD Waterhouse Centre
2003,"Wed, Mar 5, 2003",Houston Rockets,97,Toronto Raptors,95,20171,Air Canada Centre
2003,"Wed, Mar 5, 2003",Los Angeles Clippers,80,Washington Wizards,99,20173,MCI Center
2003,"Wed, Mar 5, 2003",Denver Nuggets,86,Memphis Grizzlies,96,11296,Pyramid Arena
2003,"Wed, Mar 5, 2003",Portland Trail Blazers,92,Phoenix Suns,98,15314,America West Arena
2003,"Wed, Mar 5, 2003",Minnesota Timberwolves,95,Sacramento Kings,96,17317,ARCO Arena (II)
2003,"Wed, Mar 5, 2003",Seattle SuperSonics,83,Utah Jazz,94,19666,Delta Center
2003,"Wed, Mar 5, 2003",Indiana Pacers,95,Los Angeles Lakers,97,18997,STAPLES Center
2003,"Thu, Mar 6, 2003",New Jersey Nets,78,San Antonio Spurs,92,18797,SBC Center
2003,"Thu, Mar 6, 2003",Golden State Warriors,105,Chicago Bulls,119,17098,United Center
2003,"Thu, Mar 6, 2003",Philadelphia 76ers,88,Portland Trail Blazers,60,20075,Rose Garden Arena
2003,"Fri, Mar 7, 2003",New York Knicks,111,Orlando Magic,102,17283,TD Waterhouse Centre
2003,"Fri, Mar 7, 2003",Milwaukee Bucks,85,Washington Wizards,82,20173,MCI Center
2003,"Fri, Mar 7, 2003",Los Angeles Clippers,72,Boston Celtics,83,18624,FleetCenter
2003,"Fri, Mar 7, 2003",Dallas Mavericks,91,Miami Heat,89,16500,AmericanAirlines Arena
2003,"Fri, Mar 7, 2003",Cleveland Cavaliers,76,New Orleans Hornets,102,14150,New Orleans Arena
2003,"Fri, Mar 7, 2003",Sacramento Kings,108,Utah Jazz,105,19911,Delta Center
2003,"Fri, Mar 7, 2003",Minnesota Timberwolves,96,Los Angeles Lakers,106,18997,STAPLES Center
2003,"Fri, Mar 7, 2003",Philadelphia 76ers,108,Seattle SuperSonics,99,17072,KeyArena at Seattle Center
2003,"Sat, Mar 8, 2003",Toronto Raptors,107,Atlanta Hawks,98,19445,Philips Arena
2003,"Sat, Mar 8, 2003",Memphis Grizzlies,115,Cleveland Cavaliers,89,10339,Gund Arena
2003,"Sat, Mar 8, 2003",Denver Nuggets,98,Miami Heat,92,14418,AmericanAirlines Arena
2003,"Sat, Mar 8, 2003",Los Angeles Clippers,103,Chicago Bulls,97,22303,United Center
2003,"Sat, Mar 8, 2003",Utah Jazz,77,Dallas Mavericks,101,20123,American Airlines Center
2003,"Sat, Mar 8, 2003",New Jersey Nets,71,Houston Rockets,83,16285,Compaq Center
2003,"Sat, Mar 8, 2003",Golden State Warriors,133,Milwaukee Bucks,138,16324,Bradley Center
2003,"Sat, Mar 8, 2003",Indiana Pacers,80,Portland Trail Blazers,94,20472,Rose Garden Arena
2003,"Sun, Mar 9, 2003",Washington Wizards,96,New York Knicks,97,19763,Madison Square Garden (IV)
2003,"Sun, Mar 9, 2003",Philadelphia 76ers,92,Los Angeles Lakers,106,18997,STAPLES Center
2003,"Sun, Mar 9, 2003",San Antonio Spurs,94,Boston Celtics,78,18624,FleetCenter
2003,"Sun, Mar 9, 2003",Golden State Warriors,105,Detroit Pistons,107,22076,The Palace of Auburn Hills
2003,"Sun, Mar 9, 2003",Denver Nuggets,98,Orlando Magic,111,15755,TD Waterhouse Centre
2003,"Sun, Mar 9, 2003",Memphis Grizzlies,119,Toronto Raptors,106,19138,Air Canada Centre
2003,"Sun, Mar 9, 2003",New Jersey Nets,102,New Orleans Hornets,92,17678,New Orleans Arena
2003,"Sun, Mar 9, 2003",Minnesota Timberwolves,105,Phoenix Suns,98,19023,America West Arena
2003,"Sun, Mar 9, 2003",Indiana Pacers,88,Sacramento Kings,107,17317,ARCO Arena (II)
2003,"Mon, Mar 10, 2003",Los Angeles Clippers,86,Atlanta Hawks,95,12016,Philips Arena
2003,"Mon, Mar 10, 2003",Utah Jazz,83,Miami Heat,73,14897,AmericanAirlines Arena
2003,"Mon, Mar 10, 2003",Minnesota Timberwolves,92,Dallas Mavericks,83,20049,American Airlines Center
2003,"Tue, Mar 11, 2003",Miami Heat,77,Cleveland Cavaliers,75,8059,Gund Arena
2003,"Tue, Mar 11, 2003",New Orleans Hornets,81,Indiana Pacers,71,15010,Conseco Fieldhouse
2003,"Tue, Mar 11, 2003",Orlando Magic,105,Washington Wizards,106,20173,MCI Center
2003,"Tue, Mar 11, 2003",Memphis Grizzlies,87,New York Knicks,85,18743,Madison Square Garden (IV)
2003,"Tue, Mar 11, 2003",San Antonio Spurs,105,Milwaukee Bucks,102,17401,Bradley Center
2003,"Tue, Mar 11, 2003",Los Angeles Lakers,99,Chicago Bulls,116,23122,United Center
2003,"Tue, Mar 11, 2003",Toronto Raptors,87,Denver Nuggets,95,13409,Pepsi Center
2003,"Tue, Mar 11, 2003",Portland Trail Blazers,92,Seattle SuperSonics,77,15615,KeyArena at Seattle Center
2003,"Tue, Mar 11, 2003",Phoenix Suns,98,Golden State Warriors,113,16433,The Arena in Oakland
2003,"Wed, Mar 12, 2003",New Orleans Hornets,65,Boston Celtics,93,16860,FleetCenter
2003,"Wed, Mar 12, 2003",Utah Jazz,111,Orlando Magic,108,14634,TD Waterhouse Centre
2003,"Wed, Mar 12, 2003",Indiana Pacers,93,Philadelphia 76ers,96,20550,First Union Center
2003,"Wed, Mar 12, 2003",Milwaukee Bucks,92,Atlanta Hawks,111,9729,Philips Arena
2003,"Wed, Mar 12, 2003",Los Angeles Lakers,88,Detroit Pistons,111,22076,The Palace of Auburn Hills
2003,"Wed, Mar 12, 2003",Chicago Bulls,95,Memphis Grizzlies,124,15565,Pyramid Arena
2003,"Wed, Mar 12, 2003",San Antonio Spurs,111,Minnesota Timberwolves,99,15309,Target Center
2003,"Wed, Mar 12, 2003",Los Angeles Clippers,114,Houston Rockets,118,10985,Compaq Center
2003,"Wed, Mar 12, 2003",Toronto Raptors,103,Portland Trail Blazers,125,19991,Rose Garden Arena
2003,"Thu, Mar 13, 2003",Boston Celtics,75,New Jersey Nets,90,17201,Continental Airlines Arena
2003,"Thu, Mar 13, 2003",Sacramento Kings,84,Phoenix Suns,109,18184,America West Arena
2003,"Thu, Mar 13, 2003",Dallas Mavericks,100,Seattle SuperSonics,107,14621,KeyArena at Seattle Center
2003,"Fri, Mar 14, 2003",Utah Jazz,81,Indiana Pacers,101,17935,Conseco Fieldhouse
2003,"Fri, Mar 14, 2003",Portland Trail Blazers,79,Philadelphia 76ers,90,20901,First Union Center
2003,"Fri, Mar 14, 2003",New York Knicks,104,Atlanta Hawks,107,12556,Philips Arena
2003,"Fri, Mar 14, 2003",Washington Wizards,80,Detroit Pistons,90,22076,The Palace of Auburn Hills
2003,"Fri, Mar 14, 2003",New Orleans Hornets,87,Miami Heat,83,14477,AmericanAirlines Arena
2003,"Fri, Mar 14, 2003",Los Angeles Lakers,106,Minnesota Timberwolves,99,20199,Target Center
2003,"Fri, Mar 14, 2003",Chicago Bulls,91,Houston Rockets,121,14758,Compaq Center
2003,"Fri, Mar 14, 2003",Los Angeles Clippers,96,San Antonio Spurs,107,18797,SBC Center
2003,"Fri, Mar 14, 2003",Toronto Raptors,84,Sacramento Kings,119,17317,ARCO Arena (II)
2003,"Fri, Mar 14, 2003",Dallas Mavericks,116,Golden State Warriors,114,19787,The Arena in Oakland
2003,"Sat, Mar 15, 2003",New Orleans Hornets,86,Orlando Magic,96,15601,TD Waterhouse Centre
2003,"Sat, Mar 15, 2003",Miami Heat,82,Washington Wizards,89,20173,MCI Center
2003,"Sat, Mar 15, 2003",Boston Celtics,81,Detroit Pistons,71,22076,The Palace of Auburn Hills
2003,"Sat, Mar 15, 2003",Los Angeles Lakers,98,Milwaukee Bucks,94,18717,Bradley Center
2003,"Sat, Mar 15, 2003",Golden State Warriors,94,Seattle SuperSonics,88,16117,KeyArena at Seattle Center
2003,"Sun, Mar 16, 2003",Utah Jazz,95,Cleveland Cavaliers,122,11578,Gund Arena
2003,"Sun, Mar 16, 2003",Philadelphia 76ers,92,New Jersey Nets,87,20049,Continental Airlines Arena
2003,"Sun, Mar 16, 2003",Portland Trail Blazers,95,Minnesota Timberwolves,111,19006,Target Center
2003,"Sun, Mar 16, 2003",Dallas Mavericks,129,Sacramento Kings,123,17317,ARCO Arena (II)
2003,"Sun, Mar 16, 2003",Atlanta Hawks,92,Memphis Grizzlies,124,18413,Pyramid Arena
2003,"Sun, Mar 16, 2003",Milwaukee Bucks,111,New York Knicks,120,19357,Madison Square Garden (IV)
2003,"Sun, Mar 16, 2003",Chicago Bulls,97,San Antonio Spurs,108,18797,SBC Center
2003,"Sun, Mar 16, 2003",Phoenix Suns,75,Houston Rockets,85,15717,Compaq Center
2003,"Sun, Mar 16, 2003",Seattle SuperSonics,92,Denver Nuggets,84,16108,Pepsi Center
2003,"Sun, Mar 16, 2003",Toronto Raptors,110,Los Angeles Clippers,111,18268,STAPLES Center
2003,"Mon, Mar 17, 2003",Portland Trail Blazers,95,Indiana Pacers,88,15137,Conseco Fieldhouse
2003,"Mon, Mar 17, 2003",Toronto Raptors,91,Phoenix Suns,95,15326,America West Arena
2003,"Mon, Mar 17, 2003",Los Angeles Lakers,102,Los Angeles Clippers,85,20101,STAPLES Center
2003,"Tue, Mar 18, 2003",New Jersey Nets,87,Boston Celtics,74,18624,FleetCenter
2003,"Tue, Mar 18, 2003",Detroit Pistons,94,Washington Wizards,90,20173,MCI Center
2003,"Tue, Mar 18, 2003",Philadelphia 76ers,103,Miami Heat,83,14897,AmericanAirlines Arena
2003,"Tue, Mar 18, 2003",Memphis Grizzlies,80,Minnesota Timberwolves,96,15355,Target Center
2003,"Tue, Mar 18, 2003",Atlanta Hawks,78,Chicago Bulls,103,17023,United Center
2003,"Tue, Mar 18, 2003",Cleveland Cavaliers,93,Dallas Mavericks,114,19952,American Airlines Center
2003,"Tue, Mar 18, 2003",New York Knicks,105,San Antonio Spurs,97,18797,SBC Center
2003,"Tue, Mar 18, 2003",Denver Nuggets,81,Utah Jazz,99,17651,Delta Center
2003,"Tue, Mar 18, 2003",Golden State Warriors,91,Sacramento Kings,117,17317,ARCO Arena (II)
2003,"Tue, Mar 18, 2003",Houston Rockets,94,Seattle SuperSonics,100,17072,KeyArena at Seattle Center
2003,"Wed, Mar 19, 2003",Boston Celtics,72,Indiana Pacers,102,15896,Conseco Fieldhouse
2003,"Wed, Mar 19, 2003",Miami Heat,93,Orlando Magic,109,14242,TD Waterhouse Centre
2003,"Wed, Mar 19, 2003",Atlanta Hawks,86,Toronto Raptors,87,17885,Air Canada Centre
2003,"Wed, Mar 19, 2003",Milwaukee Bucks,104,New Jersey Nets,85,13131,Continental Airlines Arena
2003,"Wed, Mar 19, 2003",Cleveland Cavaliers,101,Memphis Grizzlies,128,12506,Pyramid Arena
2003,"Wed, Mar 19, 2003",New York Knicks,96,New Orleans Hornets,101,15631,New Orleans Arena
2003,"Wed, Mar 19, 2003",Utah Jazz,99,Phoenix Suns,86,15196,America West Arena
2003,"Wed, Mar 19, 2003",Houston Rockets,83,Portland Trail Blazers,94,20580,Rose Garden Arena
2003,"Wed, Mar 19, 2003",Seattle SuperSonics,99,Golden State Warriors,105,15476,The Arena in Oakland
2003,"Wed, Mar 19, 2003",Denver Nuggets,78,Los Angeles Clippers,91,15590,STAPLES Center
2003,"Thu, Mar 20, 2003",Philadelphia 76ers,85,Detroit Pistons,113,22076,The Palace of Auburn Hills
2003,"Thu, Mar 20, 2003",San Antonio Spurs,112,Dallas Mavericks,110,20110,American Airlines Center
2003,"Thu, Mar 20, 2003",Los Angeles Lakers,99,Sacramento Kings,107,17317,ARCO Arena (II)
2003,"Fri, Mar 21, 2003",Memphis Grizzlies,92,Indiana Pacers,101,15505,Conseco Fieldhouse
2003,"Fri, Mar 21, 2003",Cleveland Cavaliers,85,Orlando Magic,109,15548,TD Waterhouse Centre
2003,"Fri, Mar 21, 2003",Atlanta Hawks,114,Philadelphia 76ers,105,20760,First Union Center
2003,"Fri, Mar 21, 2003",Toronto Raptors,98,Miami Heat,107,14492,AmericanAirlines Arena
2003,"Fri, Mar 21, 2003",Detroit Pistons,93,New York Knicks,97,19458,Madison Square Garden (IV)
2003,"Fri, Mar 21, 2003",Minnesota Timberwolves,101,San Antonio Spurs,94,18797,SBC Center
2003,"Fri, Mar 21, 2003",Milwaukee Bucks,98,New Orleans Hornets,113,17284,New Orleans Arena
2003,"Fri, Mar 21, 2003",Denver Nuggets,99,Seattle SuperSonics,101,16379,KeyArena at Seattle Center
2003,"Fri, Mar 21, 2003",Houston Rockets,117,Golden State Warriors,107,20193,The Arena in Oakland
2003,"Fri, Mar 21, 2003",Boston Celtics,96,Los Angeles Lakers,104,18997,STAPLES Center
2003,"Fri, Mar 21, 2003",Washington Wizards,83,Phoenix Suns,109,19023,America West Arena
2003,"Sat, Mar 22, 2003",Indiana Pacers,89,Atlanta Hawks,92,12754,Philips Arena
2003,"Sat, Mar 22, 2003",Memphis Grizzlies,99,New Jersey Nets,107,15340,Continental Airlines Arena
2003,"Sat, Mar 22, 2003",New York Knicks,98,Chicago Bulls,100,22121,United Center
2003,"Sat, Mar 22, 2003",Phoenix Suns,95,Dallas Mavericks,102,20087,American Airlines Center
2003,"Sat, Mar 22, 2003",New Orleans Hornets,85,Milwaukee Bucks,93,17111,Bradley Center
2003,"Sat, Mar 22, 2003",Los Angeles Clippers,73,Utah Jazz,88,19599,Delta Center
2003,"Sat, Mar 22, 2003",Boston Celtics,80,Denver Nuggets,90,17448,Pepsi Center
2003,"Sat, Mar 22, 2003",Sacramento Kings,113,Portland Trail Blazers,104,20580,Rose Garden Arena
2003,"Sun, Mar 23, 2003",Los Angeles Lakers,89,San Antonio Spurs,98,18797,SBC Center
2003,"Sun, Mar 23, 2003",Philadelphia 76ers,112,Toronto Raptors,95,19800,Air Canada Centre
2003,"Sun, Mar 23, 2003",Chicago Bulls,82,Detroit Pistons,105,20415,The Palace of Auburn Hills
2003,"Sun, Mar 23, 2003",Orlando Magic,96,Miami Heat,74,16500,AmericanAirlines Arena
2003,"Sun, Mar 23, 2003",New Jersey Nets,88,Cleveland Cavaliers,93,11292,Gund Arena
2003,"Sun, Mar 23, 2003",Washington Wizards,107,Golden State Warriors,113,20149,The Arena in Oakland
2003,"Sun, Mar 23, 2003",Houston Rockets,108,Sacramento Kings,109,17317,ARCO Arena (II)
2003,"Mon, Mar 24, 2003",Memphis Grizzlies,110,Orlando Magic,104,13523,TD Waterhouse Centre
2003,"Mon, Mar 24, 2003",Toronto Raptors,90,New York Knicks,100,18824,Madison Square Garden (IV)
2003,"Mon, Mar 24, 2003",Dallas Mavericks,108,Denver Nuggets,96,14714,Pepsi Center
2003,"Mon, Mar 24, 2003",Seattle SuperSonics,82,Phoenix Suns,73,18535,America West Arena
2003,"Mon, Mar 24, 2003",Boston Celtics,91,Utah Jazz,96,18795,Delta Center
2003,"Mon, Mar 24, 2003",Houston Rockets,108,Los Angeles Clippers,90,19060,STAPLES Center
2003,"Tue, Mar 25, 2003",Golden State Warriors,103,Cleveland Cavaliers,124,9680,Gund Arena
2003,"Tue, Mar 25, 2003",Los Angeles Lakers,108,Atlanta Hawks,91,19870,Philips Arena
2003,"Tue, Mar 25, 2003",Miami Heat,91,Minnesota Timberwolves,108,15237,Target Center
2003,"Tue, Mar 25, 2003",Milwaukee Bucks,94,San Antonio Spurs,107,18797,SBC Center
2003,"Tue, Mar 25, 2003",Washington Wizards,95,Portland Trail Blazers,91,20580,Rose Garden Arena
2003,"Wed, Mar 26, 2003",Golden State Warriors,107,Boston Celtics,95,16771,FleetCenter
2003,"Wed, Mar 26, 2003",Philadelphia 76ers,91,Indiana Pacers,85,16295,Conseco Fieldhouse
2003,"Wed, Mar 26, 2003",Cleveland Cavaliers,83,Toronto Raptors,89,16832,Air Canada Centre
2003,"Wed, Mar 26, 2003",Atlanta Hawks,99,Detroit Pistons,102,18956,The Palace of Auburn Hills
2003,"Wed, Mar 26, 2003",New York Knicks,95,New Jersey Nets,101,13734,Continental Airlines Arena
2003,"Wed, Mar 26, 2003",Phoenix Suns,101,Memphis Grizzlies,99,14524,Pyramid Arena
2003,"Wed, Mar 26, 2003",Miami Heat,74,Chicago Bulls,82,18221,United Center
2003,"Wed, Mar 26, 2003",Milwaukee Bucks,103,Denver Nuggets,108,14811,Pepsi Center
2003,"Wed, Mar 26, 2003",Los Angeles Lakers,96,Houston Rockets,93,16285,Compaq Center
2003,"Wed, Mar 26, 2003",Orlando Magic,97,New Orleans Hornets,95,17247,New Orleans Arena
2003,"Wed, Mar 26, 2003",Portland Trail Blazers,85,Utah Jazz,94,19628,Delta Center
2003,"Wed, Mar 26, 2003",Washington Wizards,80,Seattle SuperSonics,74,17072,KeyArena at Seattle Center
2003,"Wed, Mar 26, 2003",Dallas Mavericks,114,Los Angeles Clippers,107,19595,STAPLES Center
2003,"Thu, Mar 27, 2003",Minnesota Timberwolves,107,Orlando Magic,110,15033,TD Waterhouse Centre
2003,"Thu, Mar 27, 2003",Houston Rockets,85,San Antonio Spurs,98,18797,SBC Center
2003,"Thu, Mar 27, 2003",Los Angeles Clippers,83,Sacramento Kings,93,17317,ARCO Arena (II)
2003,"Fri, Mar 28, 2003",Chicago Bulls,89,Indiana Pacers,140,15971,Conseco Fieldhouse
2003,"Fri, Mar 28, 2003",Golden State Warriors,102,Philadelphia 76ers,98,20779,First Union Center
2003,"Fri, Mar 28, 2003",New Orleans Hornets,101,Toronto Raptors,92,18773,Air Canada Centre
2003,"Fri, Mar 28, 2003",Cleveland Cavaliers,95,Boston Celtics,104,18624,FleetCenter
2003,"Fri, Mar 28, 2003",Phoenix Suns,94,Detroit Pistons,91,22076,The Palace of Auburn Hills
2003,"Fri, Mar 28, 2003",Minnesota Timberwolves,84,Miami Heat,111,14522,AmericanAirlines Arena
2003,"Fri, Mar 28, 2003",New Jersey Nets,122,New York Knicks,101,19763,Madison Square Garden (IV)
2003,"Fri, Mar 28, 2003",Milwaukee Bucks,90,Utah Jazz,103,19089,Delta Center
2003,"Fri, Mar 28, 2003",Memphis Grizzlies,71,Seattle SuperSonics,95,17072,KeyArena at Seattle Center
2003,"Fri, Mar 28, 2003",Washington Wizards,94,Los Angeles Lakers,108,18997,STAPLES Center
2003,"Fri, Mar 28, 2003",Dallas Mavericks,95,Portland Trail Blazers,112,20580,Rose Garden Arena
2003,"Sat, Mar 29, 2003",Philadelphia 76ers,110,Atlanta Hawks,89,19699,Philips Arena
2003,"Sat, Mar 29, 2003",Boston Celtics,110,Cleveland Cavaliers,106,14860,Gund Arena
2003,"Sat, Mar 29, 2003",Golden State Warriors,97,New Jersey Nets,109,16345,Continental Airlines Arena
2003,"Sat, Mar 29, 2003",Sacramento Kings,107,Chicago Bulls,92,22638,United Center
2003,"Sat, Mar 29, 2003",Denver Nuggets,89,Houston Rockets,102,15026,Compaq Center
2003,"Sat, Mar 29, 2003",Utah Jazz,81,San Antonio Spurs,101,18797,SBC Center
2003,"Sun, Mar 30, 2003",Dallas Mavericks,119,Minnesota Timberwolves,95,19304,Target Center
2003,"Sun, Mar 30, 2003",New York Knicks,86,Toronto Raptors,95,19800,Air Canada Centre
2003,"Sun, Mar 30, 2003",Phoenix Suns,81,Indiana Pacers,92,15258,Conseco Fieldhouse
2003,"Sun, Mar 30, 2003",Miami Heat,87,Milwaukee Bucks,109,18717,Bradley Center
2003,"Sun, Mar 30, 2003",Sacramento Kings,88,Detroit Pistons,99,22076,The Palace of Auburn Hills
2003,"Sun, Mar 30, 2003",San Antonio Spurs,92,New Orleans Hornets,90,17357,New Orleans Arena
2003,"Sun, Mar 30, 2003",Washington Wizards,72,Denver Nuggets,88,19650,Pepsi Center
2003,"Sun, Mar 30, 2003",Memphis Grizzlies,100,Los Angeles Clippers,102,16225,STAPLES Center
2003,"Sun, Mar 30, 2003",Los Angeles Lakers,98,Seattle SuperSonics,119,17072,KeyArena at Seattle Center
2003,"Mon, Mar 31, 2003",Philadelphia 76ers,118,Orlando Magic,113,17283,TD Waterhouse Centre
2003,"Mon, Mar 31, 2003",Milwaukee Bucks,91,Miami Heat,86,14458,AmericanAirlines Arena
2003,"Mon, Mar 31, 2003",Houston Rockets,86,New Jersey Nets,110,20049,Continental Airlines Arena
2003,"Mon, Mar 31, 2003",Memphis Grizzlies,94,Los Angeles Lakers,110,18997,STAPLES Center
2003,"Tue, Apr 1, 2003",Sacramento Kings,103,Indiana Pacers,98,17088,Conseco Fieldhouse
2003,"Tue, Apr 1, 2003",Detroit Pistons,92,Toronto Raptors,85,18237,Air Canada Centre
2003,"Tue, Apr 1, 2003",Seattle SuperSonics,101,Chicago Bulls,94,17879,United Center
2003,"Tue, Apr 1, 2003",New Orleans Hornets,86,Dallas Mavericks,95,19859,American Airlines Center
2003,"Tue, Apr 1, 2003",Orlando Magic,105,San Antonio Spurs,118,18797,SBC Center
2003,"Tue, Apr 1, 2003",Denver Nuggets,65,Phoenix Suns,95,17124,America West Arena
2003,"Tue, Apr 1, 2003",Golden State Warriors,86,Portland Trail Blazers,100,20117,Rose Garden Arena
2003,"Tue, Apr 1, 2003",Utah Jazz,94,Los Angeles Clippers,89,17531,STAPLES Center
